Integer identifying grain,Number of measurement points in the grain,Area of grain in square microns,Diameter of grain in microns,ASTM grain size
37679,1958,6.10E+//0-,2.79,14.4
37686,17652,5.50E+//0-,8.37,11.2
37689,6936,2.16E+//0-,5.25,12.5
37690,6353,1.98E+//0-,5.02,12.7
37692,1385,4.32E+//0-,2.34,14.9
37693,1767,5.51E+//0-,2.65,14.5
37694,669,2.09E+//0-,1.63,15.9
37701,3,0.00935,0.11,23.7
37703,1465,4.57E+//0-,2.41,14.8
37704,4429,1.38E+//0-,4.19,13.2
37705,5638,1.76E+//0-,4.73,12.8
37706,521,1.62E+//0-,1.44,16.3
37707,4239,1.32E+//0-,4.1,13.3
37708,277,0.864,1.05,17.2
37710,59404,1.85E+//0-,15.36,9.4
37714,1612,5.03E+//0-,2.53,14.6
37715,414,1.29E+//0-,1.28,16.6
37716,599,1.87E+//0-,1.54,16.1
37718,2092,6.52E+//0-,2.88,14.3
37719,2696,8.41E+//0-,3.27,13.9
37720,729,2.27E+//0-,1.7,15.8
37721,20274,6.32E+//0-,8.97,11
37723,477,1.49E+//0-,1.38,16.4
37724,2293,7.15E+//0-,3.02,14.1
37725,1703,5.31E+//0-,2.6,14.6
37726,2,0.00624,0.09,24.3
37727,3418,1.07E+//0-,3.68,13.6
37729,96,0.299,0.62,18.7
37730,27057,8.44E+//0-,10.36,10.6
37731,1656,5.16E+//0-,2.56,14.6
37733,5207,1.62E+//0-,4.55,13
37735,201,0.627,0.89,17.7
37736,6157,1.92E+//0-,4.94,12.7
37737,4637,1.45E+//0-,4.29,13.1
37739,1290,4.02E+//0-,2.26,15
37740,34,0.106,0.37,20.2
37741,143,0.446,0.75,18.1
37743,107,0.334,0.65,18.6
37744,801,2.50E+//0-,1.78,15.7
37745,2484,7.74E+//0-,3.14,14
37746,241,0.751,0.98,17.4
37747,282,0.879,1.06,17.2
37749,1258,3.92E+//0-,2.23,15
37750,681,2.12E+//0-,1.64,15.9
37751,637,1.99E+//0-,1.59,16
37752,11381,3.55E+//0-,6.72,11.8
37753,12,0.0374,0.22,21.7
37754,1021,3.18E+//0-,2.01,15.3
37755,388,1.21E+//0-,1.24,16.7
37756,16370,5.10E+//0-,8.06,11.3
37757,669,2.09E+//0-,1.63,15.9
37759,896,2.79E+//0-,1.89,15.5
37760,110,0.343,0.66,18.5
37761,19821,6.18E+//0-,8.87,11
37762,4444,1.39E+//0-,4.2,13.2
37763,467,1.46E+//0-,1.36,16.4
37764,2636,8.22E+//0-,3.23,13.9
37765,7126,2.22E+//0-,5.32,12.5
37766,2,0.00624,0.09,24.3
37767,4089,1.28E+//0-,4.03,13.3
37768,1332,4.15E+//0-,2.3,14.9
37769,2,0.00624,0.09,24.3
37771,115,0.359,0.68,18.5
37772,51,0.159,0.45,19.6
37773,6469,2.02E+//0-,5.07,12.6
37774,37,0.115,0.38,20.1
37776,2633,8.21E+//0-,3.23,13.9
37778,4,0.0125,0.13,23.3
37779,1492,4.65E+//0-,2.43,14.8
37780,2,0.00624,0.09,24.3
37784,3,0.00935,0.11,23.7
37786,2,0.00624,0.09,24.3
37787,2,0.00624,0.09,24.3
37789,653,2.04E+//0-,1.61,16
37791,28,0.0873,0.33,20.5
37793,9317,2.91E+//0-,6.08,12.1
37794,14,0.0437,0.24,21.5
37795,4514,1.41E+//0-,4.23,13.2
37796,2223,6.93E+//0-,2.97,14.2
37798,1925,6.00E+//0-,2.76,14.4
37799,26194,8.17E+//0-,10.2,10.6
37800,1970,6.14E+//0-,2.8,14.4
37803,41,0.128,0.4,19.9
37804,188,0.586,0.86,17.7
37806,1299,4.05E+//0-,2.27,15
37808,1817,5.67E+//0-,2.69,14.5
37809,12337,3.85E+//0-,7,11.7
37810,6602,2.06E+//0-,5.12,12.6
37811,50,0.156,0.45,19.7
37812,59,0.184,0.48,19.4
37814,725,2.26E+//0-,1.7,15.8
37817,17527,5.46E+//0-,8.34,11.2
37819,6038,1.88E+//0-,4.9,12.7
37820,3087,9.62E+//0-,3.5,13.7
37822,509,1.59E+//0-,1.42,16.3
37823,681,2.12E+//0-,1.64,15.9
37824,12418,3.87E+//0-,7.02,11.7
37825,269,0.839,1.03,17.2
37826,589,1.84E+//0-,1.53,16.1
37829,72,0.225,0.53,19.1
37831,2094,6.53E+//0-,2.88,14.3
37832,2,0.00624,0.09,24.3
37834,4748,1.48E+//0-,4.34,13.1
37835,3,0.00935,0.11,23.7
37836,2840,8.85E+//0-,3.36,13.8
37838,875,2.73E+//0-,1.86,15.5
37839,976,3.04E+//0-,1.97,15.4
37840,29977,9.35E+//0-,10.91,10.4
37841,7,0.0218,0.17,22.5
37843,2525,7.87E+//0-,3.17,14
37844,12701,3.96E+//0-,7.1,11.7
37849,18,0.0561,0.27,21.1
37850,1190,3.71E+//0-,2.17,15.1
37851,3798,1.18E+//0-,3.88,13.4
37853,4655,1.45E+//0-,4.3,13.1
37855,3748,1.17E+//0-,3.86,13.4
37856,19122,5.96E+//0-,8.71,11.1
37857,54,0.168,0.46,19.5
37858,2007,6.26E+//0-,2.82,14.3
37859,1396,4.35E+//0-,2.35,14.9
37860,707,2.20E+//0-,1.68,15.8
37861,2,0.00624,0.09,24.3
37862,273,0.851,1.04,17.2
37863,57,0.178,0.48,19.5
37865,4202,1.31E+//0-,4.08,13.3
37866,450,1.40E+//0-,1.34,16.5
37868,2000,6.24E+//0-,2.82,14.3
37869,1620,5.05E+//0-,2.54,14.6
37871,4909,1.53E+//0-,4.41,13
37872,731,2.28E+//0-,1.7,15.8
37873,5452,1.70E+//0-,4.65,12.9
37876,305,0.951,1.1,17.1
37877,2,0.00624,0.09,24.3
37878,2078,6.48E+//0-,2.87,14.3
37879,601,1.87E+//0-,1.54,16.1
37880,5285,1.65E+//0-,4.58,12.9
37882,39,0.122,0.39,20
37883,519,1.62E+//0-,1.44,16.3
37884,770,2.40E+//0-,1.75,15.7
37885,4482,1.40E+//0-,4.22,13.2
37886,1549,4.83E+//0-,2.48,14.7
37887,4416,1.38E+//0-,4.19,13.2
37888,4148,1.29E+//0-,4.06,13.3
37890,22,0.0686,0.3,20.8
37893,2717,8.47E+//0-,3.28,13.9
37897,1623,5.06E+//0-,2.54,14.6
