Phase Identity,Integer identifying grain,Number of measurement points in the grain,Area of grain in square microns,Diameter of grain in microns,ASTM grain size
2,28372,1793,5.59E+//0-,2.67,14.5
2,28412,2,0.00624,0.09,24.3
2,28422,2,0.00624,0.09,24.3
2,28424,2,0.00624,0.09,24.3
2,28425,3,0.00935,0.11,23.7
2,28439,2,0.00624,0.09,24.3
2,28446,396,1.24E+//0-,1.25,16.7
2,28475,3,0.00935,0.11,23.7
2,28488,2,0.00624,0.09,24.3
2,28534,2,0.00624,0.09,24.3
2,28538,2,0.00624,0.09,24.3
2,28539,6,0.0187,0.15,22.7
2,28546,2,0.00624,0.09,24.3
2,28554,2,0.00624,0.09,24.3
2,28557,2,0.00624,0.09,24.3
2,28576,2,0.00624,0.09,24.3
2,28584,2,0.00624,0.09,24.3
2,28591,2,0.00624,0.09,24.3
2,28602,2,0.00624,0.09,24.3
2,28615,3,0.00935,0.11,23.7
2,28630,2,0.00624,0.09,24.3
2,28661,4,0.0125,0.13,23.3
2,28662,2,0.00624,0.09,24.3
2,28685,2,0.00624,0.09,24.3
2,28687,2,0.00624,0.09,24.3
2,28720,2,0.00624,0.09,24.3
2,28723,2,0.00624,0.09,24.3
2,28747,3,0.00935,0.11,23.7
2,28763,3,0.00935,0.11,23.7
2,28771,5,0.0156,0.14,23
2,28781,2,0.00624,0.09,24.3
2,28789,2,0.00624,0.09,24.3
2,28833,8,0.0249,0.18,22.3
2,28846,2,0.00624,0.09,24.3
2,28854,392,1.22E+//0-,1.25,16.7
2,28857,2,0.00624,0.09,24.3
2,28869,2,0.00624,0.09,24.3
2,28875,3,0.00935,0.11,23.7
2,28910,2,0.00624,0.09,24.3
2,28919,417,1.30E+//0-,1.29,16.6
2,28927,2,0.00624,0.09,24.3
2,29001,192,0.599,0.87,17.7
2,29032,2,0.00624,0.09,24.3
2,29034,5,0.0156,0.14,23
2,29043,2,0.00624,0.09,24.3
2,29044,2,0.00624,0.09,24.3
2,29049,2,0.00624,0.09,24.3
2,29083,3,0.00935,0.11,23.7
2,29096,2,0.00624,0.09,24.3
2,29106,2,0.00624,0.09,24.3
2,29108,2,0.00624,0.09,24.3
2,29110,3,0.00935,0.11,23.7
2,29112,2,0.00624,0.09,24.3
2,29113,2,0.00624,0.09,24.3
2,29160,3,0.00935,0.11,23.7
2,29190,4,0.0125,0.13,23.3
2,29202,2,0.00624,0.09,24.3
2,29242,6,0.0187,0.15,22.7
2,29252,2,0.00624,0.09,24.3
2,29292,2,0.00624,0.09,24.3
2,29306,3,0.00935,0.11,23.7
2,29311,2,0.00624,0.09,24.3
2,29348,2,0.00624,0.09,24.3
2,29354,2,0.00624,0.09,24.3
2,29393,2,0.00624,0.09,24.3
2,29403,77,0.24,0.55,19
2,29417,2,0.00624,0.09,24.3
2,29418,2,0.00624,0.09,24.3
2,29431,2,0.00624,0.09,24.3
